date,dailySteps,season,month,day,double
1/13/2020,7232,winter,1,Monday,TRUE
1/14/2020,7288,winter,1,Tuesday,TRUE
1/15/2020,8110,winter,1,Wednesday,TRUE
1/16/2020,6452,winter,1,Thursday,
1/19/2020,7112,winter,1,Sunday,
1/21/2020,5857,winter,1,Tuesday,TRUE
1/22/2020,8328,winter,1,Wednesday,TRUE
1/23/2020,6196,winter,1,Thursday,TRUE
1/24/2020,6719,winter,1,Friday,
1/27/2020,6089,winter,1,Monday,TRUE
1/28/2020,6155,winter,1,Tuesday,TRUE
1/29/2020,7693,winter,1,Wednesday,TRUE
1/30/2020,7128,winter,1,Thursday,TRUE
1/31/2020,5920,winter,1,Friday,TRUE
2/1/2020,6215,winter,2,Saturday,
2/3/2020,6242,winter,2,Monday,TRUE
2/4/2020,9447,winter,2,Tuesday,TRUE
2/5/2020,6328,winter,2,Wednesday,TRUE
2/6/2020,6260,winter,2,Thursday,TRUE
2/7/2020,10021,winter,2,Friday,TRUE
2/8/2020,8505,winter,2,Saturday,
2/12/2020,6951,winter,2,Wednesday,TRUE
2/13/2020,5677,winter,2,Thursday,
2/17/2020,6093,winter,2,Monday,
2/20/2020,6870,winter,2,Thursday,TRUE
2/21/2020,5716,winter,2,Friday,
2/23/2020,12592,winter,2,Sunday,TRUE
2/24/2020,7229,winter,2,Monday,TRUE
2/25/2020,8086,winter,2,Tuesday,TRUE
2/26/2020,9006,winter,2,Wednesday,TRUE
2/27/2020,8286,winter,2,Thursday,TRUE
2/28/2020,8814,winter,2,Friday,TRUE
2/29/2020,7845,winter,2,Saturday,TRUE
3/1/2020,6439,spring,3,Sunday,TRUE
3/2/2020,6180,spring,3,Monday,TRUE
3/3/2020,6487,spring,3,Tuesday,
3/5/2020,10537,spring,3,Thursday,
3/11/2020,6062,spring,3,Wednesday,TRUE
3/12/2020,7287,spring,3,Thursday,
3/25/2020,8907,spring,3,Wednesday,TRUE
3/26/2020,7263,spring,3,Thursday,TRUE
3/27/2020,9245,spring,3,Friday,TRUE
3/28/2020,7954,spring,3,Saturday,TRUE
3/29/2020,7372,spring,3,Sunday,
4/1/2020,7933,spring,4,Wednesday,TRUE
4/2/2020,7588,spring,4,Thursday,TRUE
4/3/2020,7439,spring,4,Friday,TRUE
4/4/2020,6258,spring,4,Saturday,
4/6/2020,6690,spring,4,Monday,TRUE
4/7/2020,6406,spring,4,Tuesday,
4/10/2020,8322,spring,4,Friday,TRUE
4/11/2020,8028,spring,4,Saturday,
4/14/2020,5776,spring,4,Tuesday,TRUE
4/15/2020,6119,spring,4,Wednesday,
4/17/2020,6471,spring,4,Friday,TRUE
4/18/2020,7559,spring,4,Saturday,TRUE
4/19/2020,6191,spring,4,Sunday,
4/22/2020,6756,spring,4,Wednesday,
4/24/2020,5680,spring,4,Friday,TRUE
4/25/2020,6414,spring,4,Saturday,
4/30/2020,5787,spring,4,Thursday,TRUE
5/1/2020,6710,spring,5,Friday,TRUE
5/2/2020,7817,spring,5,Saturday,
5/8/2020,6432,spring,5,Friday,
5/12/2020,5679,spring,5,Tuesday,TRUE
5/13/2020,8236,spring,5,Wednesday,
5/15/2020,8510,spring,5,Friday,TRUE
5/16/2020,8175,spring,5,Saturday,TRUE
5/17/2020,9543,spring,5,Sunday,
5/19/2020,7332,spring,5,Tuesday,TRUE
5/20/2020,6463,spring,5,Wednesday,TRUE
5/21/2020,8287,spring,5,Thursday,TRUE
5/22/2020,9192,spring,5,Friday,TRUE
5/23/2020,7773,spring,5,Saturday,TRUE
